"Candidat-e","Civ.","Nom","Prénom","Mandat","Département ou collectivité","Commune ou circonscription","Publication"
"ARTHAUD Nathalie","M","VILLANI","Jean","Maire","Haute-Saône","Courmont","01/03/2017"
"ARTHAUD Nathalie","M","HENNEVEUX","Marc","Maire","Aisne","Allemant","01/03/2017"
"ARTHAUD Nathalie","M","PARIS","Alain","Maire","Doubs","Avanne-Aveney","01/03/2017"
"ARTHAUD Nathalie","M","THEUREL","Alain","Maire","Doubs","Le Moutherot","01/03/2017"
"ARTHAUD Nathalie","M","PORTIER","Bernard","Maire","Ardennes","Grandchamp","01/03/2017"
"ARTHAUD Nathalie","M","BONTE","Alain","Maire","Oise","Evricourt","01/03/2017"
"ARTHAUD Nathalie","M","GORET","Gérard","Maire","Oise","Fontaine-Lavaganne","01/03/2017"
"ARTHAUD Nathalie","M","CLAUDON","Alain","Maire délégué-e","Haute-Marne","Vals-des-Tilles","01/03/2017"
"ARTHAUD Nathalie","M","RUIZ","Albert","Maire","Haute-Marne","Goncourt","01/03/2017"
"ARTHAUD Nathalie","M","DROUVOT","Christian","Maire","Doubs","Saint-Georges-Armont","01/03/2017"
"ARTHAUD Nathalie","M","DUCHEZEAU","Pascal","Maire","Doubs","Montferrand-le-Château","01/03/2017"
"ARTHAUD Nathalie","M","SARREY","Daniel","Maire","Haute-Saône","Ecuelle","01/03/2017"
"ARTHAUD Nathalie","M","ANDRE","Yves","Maire","Finistère","Bannalec","01/03/2017"
"ARTHAUD Nathalie","M","REICHERT","Bernard","Maire","Moselle","Thonville","01/03/2017"
"ARTHAUD Nathalie","M","SUDRE","Patrick","Maire","Haute-Garonne","Castillon-de-Saint-Martory","01/03/2017"
"ARTHAUD Nathalie","Mme","COELHO","Véronique","Maire","Gers","Bazian","01/03/2017"
"ARTHAUD Nathalie","M","FRECHIN","Jean-Pierre","Maire","Hautes-Pyrénées","Ousté","01/03/2017"
"ARTHAUD Nathalie","M","GRASSET","Serge","Maire délégué-e","Lozère","Florac Trois Rivières","01/03/2017"
"ARTHAUD Nathalie","M","CAMPION","Dominique","Maire","Haute-Marne","Humberville","01/03/2017"
"ARTHAUD Nathalie","Mme","PIROUE","Béatrice","Maire","Vosges","Juvaincourt","01/03/2017"
"ARTHAUD Nathalie","M","LANFRIT","Roland","Maire","Moselle","Neunkirchen-lès-Bouzonville","01/03/2017"
"ARTHAUD Nathalie","M","BUTIN","Yves","Maire","Oise","Villeselve","01/03/2017"
"ARTHAUD Nathalie","M","D'INCAU","Michel","Maire","Lot-et-Garonne","Sainte-Colombe-de-Duras","01/03/2017"
"ARTHAUD Nathalie","Mme","BON","Linda","Maire","Somme","Camps-en-Amiénois","01/03/2017"
"ARTHAUD Nathalie","M","BOULENGER","Raynald","Maire","Somme","Saint-Quentin-la-Motte-Croix-au-Bailly","01/03/2017"
"ARTHAUD Nathalie","Mme","DUFRESNE","Chantal","Maire","Pas-de-Calais","Thièvres","01/03/2017"
"ARTHAUD Nathalie","M","SENAUX","Fabien","Maire","Pas-de-Calais","Pommera","01/03/2017"
"ARTHAUD Nathalie","M","BROUTE","Alain","Maire","Charente","Ranville-Breuillaud","01/03/2017"
"ARTHAUD Nathalie","M","RAVERDY","Daniel","Maire délégué-e","Maine-et-Loire","Longuenée-en-Anjou","01/03/2017"
"ARTHAUD Nathalie","M","CROCFER","Fernand","Maire","Pas-de-Calais","Boiry-Notre-Dame","01/03/2017"
"ARTHAUD Nathalie","M","LADAM","Philippe","Maire","Oise","Nointel","01/03/2017"
"ARTHAUD Nathalie","M","BORNIER","Bernard","Maire","Aisne","Dercy","01/03/2017"
"ARTHAUD Nathalie","M","ESPOSITO","Fabrice","Maire","Lot-et-Garonne","Lauzun","01/03/2017"
"ARTHAUD Nathalie","Mme","PASCAULT CHARTIER","Martine","Maire","Nièvre","Cessy-les-Bois","01/03/2017"
"ARTHAUD Nathalie","M","ROBLET","Jean-Paul","Maire","Cher","Aubinges","01/03/2017"
"ARTHAUD Nathalie","M","PIRLOT","Pierre","Maire","Nièvre","Cuncy-lès-Varzy","01/03/2017"
"ARTHAUD Nathalie","M","MARQUET","Régis","Maire","Pas-de-Calais","Neuville-au-Cornet","01/03/2017"
"ARTHAUD Nathalie","M","CARON","Christophe","Maire","Corrèze","Meyssac","01/03/2017"
"ARTHAUD Nathalie","M","HALOT","Philippe","Maire","Eure","Bourg-Beaudouin","01/03/2017"
"ARTHAUD Nathalie","M","GOSSET","Jean-Yves","Maire","Oise","Le Mesnil-Saint-Firmin","01/03/2017"
"ARTHAUD Nathalie","M","DESCHARLES","Jean-Claude","Maire","Pas-de-Calais","Saint-Josse","01/03/2017"
"ARTHAUD Nathalie","Mme","TETART","Marie-Françoise","Maire","Pas-de-Calais","Foncquevillers","01/03/2017"
"ARTHAUD Nathalie","M","BLANC","Daniel","Maire","Alpes-de-Haute-Provence","Entrevennes","01/03/2017"
"ARTHAUD Nathalie","M","DESCAMPS","Guillaume","Maire","Ardennes","Marquigny","01/03/2017"
"ARTHAUD Nathalie","M","LALISSE","Michel","Maire","Pas-de-Calais","Metz-en-Couture","01/03/2017"
"ARTHAUD Nathalie","M","MAYEUX","Bernard","Maire","Pas-de-Calais","Tortequesne","01/03/2017"
"ASSELINEAU François","M","DESBARATS","Jean-Marc","Maire","Gers","Lamazère","01/03/2017"
"ASSELINEAU François","M","DELABASLE","Stanislas","Maire","Orne","Montreuil-la-Cambe","01/03/2017"
"ASSELINEAU François","M","AYACHE","Serge","Maire","Hautes-Alpes","Fouillouse","01/03/2017"
"ASSELINEAU François","M","JOVENIAUX","Didier","Maire","Nord","Quérénaing","01/03/2017"
"ASSELINEAU François","M","DARQUES","Jérôme","Maire","Nord","Morbecque","01/03/2017"
"ASSELINEAU François","M","DRUET","Pascal","Maire","Aisne","Verneuil-sur-Serre","01/03/2017"
"ASSELINEAU François","Mme","ENCELIN","Elyane","Maire délégué-e","Orne","Longny les Villages","01/03/2017"
"ASSELINEAU François","M","LEBOUVIER","Jean","Maire","Manche","Saint-Amand-Villages","01/03/2017"
"ASSELINEAU François","Mme","LECOURTOIS","Geneviève","Maire délégué-e","Manche","Saint-Jean-d'Elle","01/03/2017"
"ASSELINEAU François","M","WIERZBICKI","Jean-Marie","Maire délégué-e","Eure","Val d'Orger","01/03/2017"
"ASSELINEAU François","M","BOREL","Louis-Jean","Maire","Drôme","Glandage","01/03/2017"
